Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Time period range
93014,Percentage of physically active adults,,,E92000001,England,England,Male,19+ yrs,,,2015/16,68.9352,68.62034,69.25457,68.43795,69.44167,,84985,,,Not compared,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Female,19+ yrs,,,2015/16,63.5084,63.22209,63.80397,63.03062,63.94782,,107067,,,Not compared,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,85+ yrs,,,2015/16,25.43311,24.07125,26.81934,23.20608,27.53181,,3930,,,Not compared,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,25-34 yrs,,,2015/16,70.97007,70.39745,71.53721,70.07884,71.868,,24481,,,Not compared,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,35-44 yrs,,,2015/16,69.82653,69.3219,70.33501,68.98851,70.63603,,30895,,,Not compared,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,45-54 yrs,,,2015/16,69.07365,68.56126,69.56205,68.30157,69.83341,,34273,,,Not compared,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,55-64 yrs,,,2015/16,64.99513,64.49508,65.47926,64.2086,65.72855,,37699,,,Not compared,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,65-74 yrs,,,2015/16,63.5906,63.0992,64.08043,62.79355,64.36462,,37300,,,Not compared,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,75-84 yrs,,,2015/16,46.56597,45.77069,47.35789,45.29969,47.77082,,15499,,,Not compared,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19-24 yrs,,,2015/16,77.52994,76.59943,78.44326,76.04256,78.97539,,8081,,,Not compared,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,,,2015/16,66.1336,65.91866,66.34436,65.8021,66.46666,,192158,,,Not compared,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,Working status,Inactive,2015/16,55.84349,55.46686,56.21532,55.27334,56.42449,,70278,,,Worse,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,Working status,Unemployed,2015/16,59.21063,57.8519,60.55192,57.03788,61.4453,,5037,,,Worse,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,Working status,Working,2015/16,70.95374,70.68121,71.22409,70.5195,71.38003,,103889,,,Better,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,Disability,Disabled,2015/16,49.66649,49.13148,50.21752,48.79346,50.52111,,31951,,,Worse,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,Disability,Not disabled,2015/16,70.45761,70.23113,70.68548,70.0971,70.80008,,149223,,,Better,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,LSOA11 deprivation deciles in England (IMD2015),Most deprived decile,2015/16,57.45129,56.74131,58.14938,56.36547,58.54641,,18891,,,Worse,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,LSOA11 deprivation deciles in England (IMD2015),Second most deprived decile,2015/16,62.23219,61.53672,62.92399,61.14949,63.35323,,19104,,,Worse,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,LSOA11 deprivation deciles in England (IMD2015),Third more deprived decile,2015/16,64.00716,63.3368,64.67256,62.97815,65.05199,,19240,,,Worse,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,LSOA11 deprivation deciles in England (IMD2015),Fourth more deprived decile,2015/16,66.07286,65.42529,66.74641,65.03015,67.14168,,19228,,,Similar,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,LSOA11 deprivation deciles in England (IMD2015),Fifth more deprived decile,2015/16,66.81585,66.14451,67.47757,65.7866,67.84585,,19279,,,Better,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,LSOA11 deprivation deciles in England (IMD2015),Fifth less deprived decile,2015/16,68.49342,67.85844,69.14679,67.51695,69.54522,,19327,,,Better,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,LSOA11 deprivation deciles in England (IMD2015),Fourth less deprived decile,2015/16,68.80142,68.15099,69.45063,67.7264,69.82344,,19313,,,Better,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,LSOA11 deprivation deciles in England (IMD2015),Third less deprived decile,2015/16,68.80896,68.15988,69.48352,67.8069,69.81054,,19265,,,Better,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,LSOA11 deprivation deciles in England (IMD2015),Second least deprived decile,2015/16,70.76371,70.13412,71.3939,69.75067,71.84989,,19293,,,Better,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,LSOA11 deprivation deciles in England (IMD2015),Least deprived decile,2015/16,72.0174,71.38694,72.63596,71.01743,72.97945,,19215,,,Better,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,Ethnic groups,White British,2015/16,67.34325,67.12214,67.57068,66.98926,67.70727,,162535,,,Better,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,Ethnic groups,White Other,2015/16,68.15971,67.20091,69.09317,66.6839,69.65156,,9671,,,Better,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,Ethnic groups,Asian,2015/16,56.87804,55.7386,57.98502,55.13944,58.65214,,7345,,,Worse,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,Ethnic groups,Black,2015/16,56.65969,54.74924,58.54863,53.6853,59.49848,,2632,,,Worse,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,Ethnic groups,Chinese,2015/16,58.4283,55.40275,61.39489,53.63458,63.06483,,1018,,,Worse,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,Ethnic groups,Mixed,2015/16,72.53169,70.43527,74.5619,69.36105,75.63607,,1769,,,Better,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,Ethnic groups,Other,2015/16,57.98317,55.43933,60.59972,53.83536,61.92483,,1434,,,Worse,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,Level of education,No qualification,2015/16,42.44721,41.73404,43.17021,41.37234,43.61171,,18800,,,Worse,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,Level of education,Another type of qualification,2015/16,58.92501,57.97143,59.86962,57.34828,60.4736,,10431,,,Worse,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,Level of education,Level 1 and below,2015/16,57.1488,55.74935,58.59173,54.86647,59.36695,,4644,,,Worse,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,Level of education,Level 2 and equivalent,2015/16,64.01647,63.48089,64.56051,63.16561,64.87261,,31400,,,Worse,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,Level of education,Level 3 and equivalent,2015/16,70.49994,69.96241,71.06069,69.67934,71.42038,,26134,,,Better,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,Level of education,Level 4 and above,2015/16,74.31435,74.03297,74.5906,73.86813,74.74687,,93430,,,Better,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,Socioeconomic class,"Managerial, administrative and professional occupations",2015/16,75.32598,75.05029,75.60113,74.87018,75.7496,,94951,,,Better,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,Socioeconomic class,Intermediate occupations,2015/16,65.48754,64.80732,66.15758,64.3724,66.5571,,19774,,,Similar,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,Socioeconomic class,Self-employed and small employers,2015/16,68.23979,67.37972,69.07923,66.87239,69.53585,,11827,,,Better,Not compared,20150000,,,1y
93014,Percentage of physically active adults,,,E92000001,England,England,Persons,19+ yrs,Socioeconomic class,Lower supervisory and technical occupations,2015/16,66.6242,65.81846,67.42879,65.3627,67.91496,,13165,,,Similar,Not compared,20150000,,,1y
